[00:39:45.120867] (system)	Installing post-load hooks...
[00:39:45.120867] (system)	Hooks installed.
[00:39:45.655384] (error)	AntiRvanka.lua: opcode '0AF8' call caused an unhandled exception
stack traceback:
	[C]: in function 'sampAddChatMessage'
	...e\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\AntiRvanka.lua:61: in function 'sendMessage'
	...e\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\AntiRvanka.lua:7: in function <...e\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\AntiRvanka.lua:5>
[00:39:45.655384] (error)	AntiRvanka.lua: Script died due to an error. (0E81D33C)
[00:39:46.779593] (system)	Loading script 'D:\Game\AllGTASA\SAMP-SBORKA-BY-KIKO\moonloader\config\UltraFuck\Scripts\Spee.lua'...
[00:39:46.779593] (debug)	New script: 0E9103CC
[00:39:46.827103] (system)	Spee.lua: Loaded successfully.
[00:39:47.542270] (script)	UltraFuck: {FFFFFF}Обновления не были найдены, текущая версия 2.2
